"No          ";"Description     "
"1           ";"Actual status of MS controller inputs"
"2           ";"Actual status of MS controller outputs"
"3           ";"Actual value fo MS controller IGBT temperature"
"4           ";"Actual value of MS motor current consumption"
"5           ";"Actual value of actual MS motor speed"
"6           ";"Actual value of MS controller DC bus voltage"
"7           ";"Actuel number of worm turns"
"8";"Redirect to Menu screen"
"9";"Switching between MS units (if are installed at same hoist system)"
"10";"Actual value of analogue input of MS controller"